Columns,Max,Mean,Median,Min,Quantile_25%,Quantile_50%,Quantile_75%,Standard_deviation,Variance
battery_power,1998.0,1238.5185,1226.0,501.0,851.75,1226.0,1615.25,439.4182060835312,193088.35983766866
blue,1.0,0.495,0.0,0.0,0.0,0.0,1.0,0.5001000400170029,0.25010005002500796
clock_speed,3.0,1.5222499999999983,1.5,0.5,0.7,1.5,2.2,0.8160042088950705,0.6658628689344699
dual_sim,1.0,0.5095,1.0,0.0,0.0,1.0,1.0,0.5000347661750046,0.25003476738369157
fc,19.0,4.3095,3.0,0.0,1.0,3.0,7.0,4.341443747983884,18.84813381690835
four_g,1.0,0.5215,1.0,0.0,0.0,1.0,1.0,0.4996624673623623,0.24966258129064378
int_memory,64.0,32.0465,32.0,2.0,16.0,32.0,48.0,18.145714955206863,329.26697123561803
m_dep,1.0,0.5017500000000017,0.5,0.1,0.2,0.5,0.8,0.2884155496235109,0.08318352926463188
mobile_wt,200.0,140.249,141.0,80.0,109.0,141.0,170.0,35.399654896388334,1253.1355667833905
n_cores,8.0,4.5205,4.0,1.0,3.0,4.0,7.0,2.287836718042658,5.234196848424202
pc,20.0,9.9165,10.0,0.0,5.0,10.0,15.0,6.064314941347797,36.77591570785413
px_height,1960.0,645.108,564.0,0.0,282.75,564.0,947.25,443.7808108064387,196941.40804002012
px_width,1998.0,1251.5155,1247.0,500.0,874.75,1247.0,1633.0,432.19944694633784,186796.36194072032
ram,3998.0,2124.213,2146.5,256.0,1207.5,2146.5,3064.5,1084.7320436099492,1176643.6064342167
sc_h,19.0,12.3065,12.0,5.0,9.0,12.0,16.0,4.2132450043563106,17.75143346673341
sc_w,18.0,5.767,5.0,0.0,2.0,5.0,9.0,4.356397605826395,18.978200100049946
talk_time,20.0,11.011,11.0,2.0,6.0,11.0,16.0,5.463955197766686,29.854806403201582
three_g,1.0,0.7615,1.0,0.0,1.0,1.0,1.0,0.4262729223187337,0.1817086043021532
touch_screen,1.0,0.503,1.0,0.0,0.0,1.0,1.0,0.5001160445626752,0.2501160580290157
wifi,1.0,0.507,1.0,0.0,0.0,1.0,1.0,0.5000760322381043,0.2500760380190055
price_range,3.0,1.5,1.5,0.0,0.75,1.5,2.25,1.118313602106461,1.2506253126563283
