Accurancy score,Added column,F1 score,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Model Params,Outliers,Outliers records,Precision score,Recall score,Records,round
0.5825,yes,0.5825,cor,21.0,65.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",iqr,1202.0,0.5825,0.5825,1999.0,1.0
0.7625,yes,0.7625,cor,21.0,65.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
          n_estimators=54, random_state=None)",iqr,1202.0,0.7625,0.7625,1999.0,1.0
0.7625,yes,0.7625,cor,21.0,65.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
          n_estimators=52, random_state=None)",iqr,1202.0,0.7625,0.7625,1999.0,1.0
0.8675,yes,0.8675,cor,21.0,65.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",iqr,1202.0,0.8675,0.8675,1999.0,1.0
0.675,yes,0.675,cor,21.0,65.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=8,
            max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=40,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",iqr,1202.0,0.675,0.675,1999.0,1.0
0.6825,yes,0.6825,cor,21.0,65.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=30,
            max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=35,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",iqr,1202.0,0.6825,0.6825,1999.0,1.0
0.5225,yes,0.5225,cor,21.0,65.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",iqr,1202.0,0.5225,0.5225,1999.0,1.0
0.7375,yes,0.7375,cor,21.0,65.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features=2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=64, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",iqr,1202.0,0.7375,0.7375,1999.0,1.0
0.6975,yes,0.6975,cor,21.0,65.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features=2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=38, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",iqr,1202.0,0.6975,0.6975,1999.0,1.0
0.93,yes,0.93,cor,21.0,65.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=5, p=2,
           weights='uniform')",iqr,1202.0,0.93,0.93,1999.0,1.0
0.945,yes,0.945,cor,21.0,65.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=7, metric='minkowski',
           metric_params=None, n_jobs=-1, n_neighbors=18, p=2,
           weights='uniform')",iqr,1202.0,0.945,0.945,1999.0,1.0
0.9475,yes,0.9475,cor,21.0,65.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
           metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
           weights='uniform')",iqr,1202.0,0.9475,0.9475,1999.0,1.0
0.575,yes,0.575,cor,21.0,65.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features=1, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",iqr,1202.0,0.575,0.575,1999.0,1.0
0.915,yes,0.915,cor,21.0,65.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=41, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=69, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",iqr,1202.0,0.915,0.915,1999.0,1.0
0.8775,yes,0.8775,cor,21.0,65.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=56, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=44, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",iqr,1202.0,0.8775,0.8775,1999.0,1.0
0.235,yes,0.235,cor,21.0,65.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.235,yes,0.235,cor,21.0,65.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.235,yes,0.235,cor,21.0,65.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.235,yes,0.235,cor,21.0,65.0,nothing,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.2425,yes,0.2425,cor,21.0,65.0,randomized search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=0.0009236708571873865,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.001, verbose=False)",iqr,1202.0,0.2425,0.2425,1999.0,1.0
0.5425,yes,0.5425,cor,21.0,65.0,grid search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.5425,0.5425,1999.0,1.0
0.495,yes,0.495,cor,21.0,65.0,nothing,QDA,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
               store_covariance=False, store_covariances=None, tol=0.0001)",iqr,1202.0,0.495,0.495,1999.0,1.0
0.8125,yes,0.8125,cor,21.0,65.0,nothing,Naive Bayes,"GaussianNB(priors=None, var_smoothing=1e-09)",iqr,1202.0,0.8125,0.8125,1999.0,1.0
0.84,yes,0.8399999999999999,cor,21.0,65.0,nothing,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",iqr,1202.0,0.84,0.84,1999.0,1.0
0.235,yes,0.235,cor,21.0,65.0,nothing,Gaussian Process,"GaussianProcessClassifier(copy_X_train=True,
             kernel=1**2 * RBF(length_scale=1), max_iter_predict=100,
             multi_class='one_vs_rest', n_jobs=None,
             n_restarts_optimizer=0, optimizer='fmin_l_bfgs_b',
             random_state=None, warm_start=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.6875,yes,0.6875,vif,21.0,62.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",iqr,1202.0,0.6875,0.6875,1999.0,1.0
0.7625,yes,0.7625,vif,21.0,62.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
          n_estimators=51, random_state=None)",iqr,1202.0,0.7625,0.7625,1999.0,1.0
0.7625,yes,0.7625,vif,21.0,62.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
          n_estimators=52, random_state=None)",iqr,1202.0,0.7625,0.7625,1999.0,1.0
0.8575,yes,0.8575,vif,21.0,62.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",iqr,1202.0,0.8575,0.8575,1999.0,1.0
0.77,yes,0.7699999999999999,vif,21.0,62.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=25,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",iqr,1202.0,0.77,0.77,1999.0,1.0
0.695,yes,0.695,vif,21.0,62.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=30,
            max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=35,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",iqr,1202.0,0.695,0.695,1999.0,1.0
0.6425,yes,0.6425,vif,21.0,62.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",iqr,1202.0,0.6425,0.6425,1999.0,1.0
0.7825,yes,0.7825,vif,21.0,62.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=None, max_features=2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=78, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",iqr,1202.0,0.7825,0.7825,1999.0,1.0
0.7325,yes,0.7325,vif,21.0,62.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=None, max_features=2, max_leaf_nodes=None,
           min_impurity_decrease=0.0, min_impurity_split=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=46, n_jobs=None,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",iqr,1202.0,0.7325,0.7325,1999.0,1.0
0.8,yes,0.8000000000000002,vif,21.0,62.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=5, p=2,
           weights='uniform')",iqr,1202.0,0.8,0.8,1999.0,1.0
0.815,yes,0.815,vif,21.0,62.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=7, metric='minkowski',
           metric_params=None, n_jobs=-1, n_neighbors=16, p=2,
           weights='uniform')",iqr,1202.0,0.815,0.815,1999.0,1.0
0.805,yes,0.805,vif,21.0,62.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
           metric_params=None, n_jobs=-1, n_neighbors=8, p=2,
           weights='uniform')",iqr,1202.0,0.805,0.805,1999.0,1.0
0.59,yes,0.59,vif,21.0,62.0,nothing,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features=1, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",iqr,1202.0,0.59,0.59,1999.0,1.0
0.94,yes,0.94,vif,21.0,62.0,randomized search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=31, max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=57, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",iqr,1202.0,0.94,0.94,1999.0,1.0
0.875,yes,0.875,vif,21.0,62.0,grid search,Random Forest,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",iqr,1202.0,0.875,0.875,1999.0,1.0
0.235,yes,0.235,vif,21.0,62.0,nothing,SVM Sigmoid,"SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=2, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.235,yes,0.235,vif,21.0,62.0,randomized search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.235,yes,0.235,vif,21.0,62.0,grid search,SVM Sigmoid,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=2, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.235,yes,0.235,vif,21.0,62.0,nothing,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=2, kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.4225,yes,0.4225,vif,21.0,62.0,randomized search,SVM RBF,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=4, gamma=0.0028072162039411755,
  kernel='rbf', max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.001, verbose=False)",iqr,1202.0,0.4225,0.4225,1999.0,1.0
0.7975,yes,0.7975,vif,21.0,62.0,grid search,SVM RBF,"SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=1, gamma=0.0001, kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",iqr,1202.0,0.7975,0.7975,1999.0,1.0
0.4975,yes,0.4975,vif,21.0,62.0,nothing,QDA,"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
               store_covariance=False, store_covariances=None, tol=0.0001)",iqr,1202.0,0.4975,0.4975,1999.0,1.0
0.7025,yes,0.7025,vif,21.0,62.0,nothing,Naive Bayes,"GaussianNB(priors=None, var_smoothing=1e-09)",iqr,1202.0,0.7025,0.7025,1999.0,1.0
0.835,yes,0.835,vif,21.0,62.0,nothing,Linear Discriminant Analysis,"LinearDiscriminantAnalysis(n_components=None, priors=None, shrinkage=None,
              solver='svd', store_covariance=False, tol=0.0001)",iqr,1202.0,0.835,0.835,1999.0,1.0
0.235,yes,0.235,vif,21.0,62.0,nothing,Gaussian Process,"GaussianProcessClassifier(copy_X_train=True,
             kernel=1**2 * RBF(length_scale=1), max_iter_predict=100,
             multi_class='one_vs_rest', n_jobs=None,
             n_restarts_optimizer=0, optimizer='fmin_l_bfgs_b',
             random_state=None, warm_start=False)",iqr,1202.0,0.235,0.235,1999.0,1.0
0.61,yes,0.61,cor,21.0,64.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",z_score,1600.0,0.61,0.61,1999.0,1.0
