ACC,F1 macro,F1 micro,F1 weighted,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Outliers,Outliers records,Recall macro,Recall micro,Recall weighted,Records
0.59,0.585220006572052,0.59,0.5958716776283333,cor,73.0,62.0,nothing,AdaBoost,iqr,1548.0,0.7011240491536742,0.59,0.59,1999.0
0.785,0.7827440672195228,0.785,0.7868576912726446,cor,73.0,62.0,nothing,Decision Tree,iqr,1548.0,0.7959421786375828,0.785,0.785,1999.0
0.59,0.5908685168770355,0.59,0.59056072566172,cor,73.0,62.0,nothing,Extra Trees,iqr,1548.0,0.5951621677282334,0.59,0.59,1999.0
0.2675,0.10552268244575937,0.2675,0.42209072978303747,cor,73.0,62.0,nothing,Gaussian Process,iqr,1548.0,0.066875,0.2675,0.2675,1999.0
0.9,0.8999220342152173,0.9,0.8997231563947423,cor,73.0,62.0,nothing,Nearest Neighbors,iqr,1548.0,0.9005167444153677,0.9,0.9,1999.0
0.87,0.8681584520775687,0.87,0.8689075655527461,cor,73.0,62.0,nothing,Logistic Regression,iqr,1548.0,0.8701655912894445,0.87,0.87,1999.0
0.645,0.6105414177820425,0.645,0.6787630837249177,cor,73.0,62.0,nothing,Neural Net,iqr,1548.0,0.6756311673803761,0.645,0.645,1999.0
0.6,0.5889498717251705,0.6,0.6090858908422992,cor,73.0,62.0,nothing,Random Forest,iqr,1548.0,0.5858986583804545,0.6,0.6,1999.0
0.2675,0.10552268244575937,0.2675,0.42209072978303747,cor,73.0,62.0,nothing,SVM Sigmoid,iqr,1548.0,0.066875,0.2675,0.2675,1999.0
0.9725,0.9723650558782262,0.9725,0.9724251456760916,cor,73.0,62.0,nothing,SVM Linear,iqr,1548.0,0.9727317670015163,0.9725,0.9725,1999.0
0.2675,0.10552268244575937,0.2675,0.42209072978303747,cor,73.0,62.0,nothing,SVM RBF,iqr,1548.0,0.066875,0.2675,0.2675,1999.0
0.51,0.33770657524613223,0.51,0.6754942422644163,cor,73.0,62.0,nothing,QDA,iqr,1548.0,0.2549537814073499,0.51,0.51,1999.0
0.7775,0.7666821611963713,0.7775,0.7864651264135731,cor,73.0,62.0,nothing,Naive Bayes,iqr,1548.0,0.7702009248858241,0.7775,0.7775,1999.0
0.8025,0.8041769270683508,0.8025,0.7976420311616985,cor,73.0,62.0,nothing,Linear Discriminant Analysis,iqr,1548.0,0.8135610638271742,0.8025,0.8025,1999.0
0.705,0.6998320036011005,0.705,0.7051740417542379,vif,73.0,60.0,nothing,AdaBoost,iqr,1548.0,0.7581716826377145,0.705,0.705,1999.0
0.7525,0.7545025602025308,0.7525,0.7482797472934729,vif,73.0,60.0,nothing,Decision Tree,iqr,1548.0,0.7662492874357282,0.7525,0.7525,1999.0
0.5325,0.5281113039098148,0.5325,0.5368210839376966,vif,73.0,60.0,nothing,Extra Trees,iqr,1548.0,0.5351486291486292,0.5325,0.5325,1999.0
0.2675,0.11000100010000999,0.2675,0.4178039803980398,vif,73.0,60.0,nothing,Gaussian Process,iqr,1548.0,0.1915829145728643,0.2675,0.2675,1999.0
0.285,0.27859178623670167,0.285,0.294222733342985,vif,73.0,60.0,nothing,Nearest Neighbors,iqr,1548.0,0.28028784233675974,0.285,0.285,1999.0
0.795,0.7936584318538582,0.795,0.7937131794271253,vif,73.0,60.0,nothing,Logistic Regression,iqr,1548.0,0.7985663258886185,0.795,0.795,1999.0
