ACC,Added column,F1 macro,F1 micro,F1 weighted,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Model Params,Outliers,Outliers records,Recall macro,Recall micro,Recall weighted,Records
0.6525,yes,0.6353517545044268,0.6525,0.6686949131847743,cor,21.0,64.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",iqr,1200.0,0.7435517503693485,0.6525,0.6525,1999.0
0.715,yes,0.7026648700635261,0.715,0.7234278716390247,cor,21.0,64.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=54, random_state=None)",iqr,1200.0,0.7122134473132103,0.715,0.715,1999.0
0.715,yes,0.7026648700635261,0.715,0.7234278716390247,cor,21.0,64.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.3,
                   n_estimators=70, random_state=None)",iqr,1200.0,0.7122134473132103,0.715,0.715,1999.0
0.825,yes,0.8211804392395654,0.825,0.8271737403074496,cor,21.0,64.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1200.0,0.8262615913230666,0.825,0.825,1999.0
0.52,yes,0.5062400173018201,0.52,0.5284918251558924,cor,21.0,64.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=40,
                       max_features='log2', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=70,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1200.0,0.5156670404490544,0.52,0.52,1999.0
0.7525,yes,0.7517687943909599,0.7525,0.7503873096987119,cor,21.0,64.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=30,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=10,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,1200.0,0.7557194616977226,0.7525,0.7525,1999.0
0.5625,yes,0.5570569071879116,0.5625,0.5631020737632092,cor,21.0,64.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,1200.0,0.567719325862911,0.5625,0.5625,1999.0
0.715,yes,0.7114553175033611,0.715,0.7136732475782215,cor,21.0,64.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=74, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,1200.0,0.713823494441472,0.715,0.715,1999.0
0.705,yes,0.7015625974674069,0.705,0.7038136527145323,cor,21.0,64.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=46, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,1200.0,0.7033824150870849,0.705,0.705,1999.0
0.92,yes,0.9188655960177,0.92,0.920276947139718,cor,21.0,64.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",iqr,1200.0,0.9199059620629126,0.92,0.92,1999.0
0.9,yes,0.8984188245545416,0.9,0.9003240781626832,cor,21.0,64.0,randomized search,Nearest Neighbors,"KNeighborsClassifier(algorithm='brute', leaf_size=5, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=11, p=2,
                     weights='uniform')",iqr,1200.0,0.9000298268945551,0.9,0.9,1999.0
0.915,yes,0.9137150975795145,0.915,0.9152361776940273,cor,21.0,64.0,grid search,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=1, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=7, p=2,
                     weights='uniform')",iqr,1200.0,0.9144512484063155,0.915,0.915,1999.0
